WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJPPP9,64,514,1,3273.85,WSWP,134531.82397460938,0.0,0.0,134531.82397460938,0.0,0
BEGJPPP8,25,557,3,3914.32,WSWP,169434.78259277347,0.0,0.0,169434.78259277347,0.0,0
BEGJPPP5,119,567,2,3936.94,WSWP,107097.39971923828,0.0,0.0,107097.39971923828,0.0,0
BEGJPPP1,66,492,7,3290.86,WSWP,85076.35009765625,977.6887283697723,55117.90965774655,85076.35009765625,12225.754443931655,2
BEGJPPP8,70,401,1,3282.62,WSWP,101833.5015258789,658.7086117941652,8316.720774292946,101833.5015258789,35762.54370267114,2
BEGJPPP3,96,301,1,3477.94,WSWP,110595.53717041016,0.0,0.0,110595.53717041016,0.0,0
BEGJPP9P,105,447,1,3611.33,WSWP,112415.94561767578,0.0,0.0,112415.94561767578,0.0,0
BEGJPP99,29,445,1,3632.72,WSWP,183155.9641113281,0.0,0.0,183155.9641113281,0.0,0
BEGJPP98,95,594,2,3847.91,WSWP,84721.92095947267,0.0,0.0,84721.92095947267,0.0,0
BEGJPP95,115,148,1,3952.1,WSWP,166356.392578125,0.0,0.0,166356.392578125,0.0,0
BEGJPP91,119,106,6,3856.6,WSWP,106375.89184570312,0.0,0.0,106375.89184570312,0.0,0
QIGFPPP9,131,841,3,4061.54,WSWP,188061.2283935547,0.0,0.0,188061.2283935547,0.0,0
BEGJPP88,129,292,81,4102.16,WSWP,186809.0318603516,0.0,0.0,186809.0318603516,0.0,0
BEGJPP8P,53,376,123,3656.81,WSWP,124751.64575195312,1105.3834522366524,25952.95173335076,124751.64575195312,52293.96196711808,2
BEGJPP85,145,398,1,4217.44,WSWP,243128.05078125,0.0,0.0,243128.05078125,0.0,0
BEGJPP92,104,341,2,3549.64,WSWP,98832.82208251953,725.2997811827809,32295.9966840744,98832.82208251953,56664.837445259094,2
BEGJPP98,103,258,3,3639.21,WSWP,117907.45764160155,688.5463277809323,30517.65850830078,117907.45764160155,93386.60582958162,2
BEGJPPP2,67,619,1,4039.45,WSWP,195000.3868408203,0.0,0.0,195000.3868408203,0.0,0
BEGJPP81,13,466,1,4568.82,WSWP,216595.22021484366,0.0,0.0,216595.22021484366,0.0,0
BEGJPP81,43,337,1,4105.56,WSWP,243581.6826171875,0.0,0.0,243581.6826171875,0.0,0
