WELL,I,J,K,DEPTH,WSWP_cost,class_
BEGJPPP9,64,514,1,3273.85,134531.82397460938,0
BEGJPPP8,25,557,3,3914.32,169434.78259277347,1
BEGJPPP5,119,567,2,3936.94,107097.39971923828,0
BEGJPPP1,66,492,7,3290.86,85076.35009765625,0
BEGJPPP8,70,401,1,3282.62,101833.5015258789,0
BEGJPPP3,96,301,1,3477.94,110595.53717041016,0
BEGJPP9P,105,447,1,3611.33,112415.94561767578,0
BEGJPP99,29,445,1,3632.72,183155.9641113281,1
BEGJPP98,95,594,2,3847.91,84721.92095947267,0
BEGJPP95,115,148,1,3952.1,166356.392578125,1
BEGJPP91,119,106,6,3856.6,106375.89184570312,0
QIGFPPP9,131,841,3,4061.54,188061.2283935547,-1
BEGJPP88,129,292,81,4102.16,186809.0318603516,-1
BEGJPP8P,53,376,123,3656.81,124751.64575195312,0
BEGJPP85,145,398,1,4217.44,243128.05078125,2
BEGJPP92,104,341,2,3549.64,98832.82208251953,0
BEGJPP98,103,258,3,3639.21,117907.45764160155,0
BEGJPPP2,67,619,1,4039.45,195000.3868408203,3
BEGJPP81,13,466,1,4568.82,216595.22021484366,3
BEGJPP81,43,337,1,4105.56,243581.6826171875,2
BEGJPP82,26,585,1,4057.32,211303.23950195312,3
BEGJPP92,101,499,4,3629.16,113447.90747070312,0
BEGJPP91,68,556,1,3430.64,116301.48443603516,0
BEGJPP55,19,500,1,4116.54,225936.77099609372,3
BEGJPP83,118,529,3,3845.79,76258.51654052733,0
BEGJPP52,69,319,3,3354.89,52805.3447265625,4
BEGJPP82,49,475,8,3240.86,118222.966796875,0
BEGJPP88,141,491,56,4108.47,202348.28149414065,3
BEGJPP93,107,650,102,4061.21,123472.9930419922,0
BEGJPP58,112,185,1,3947.89,149024.53662109375,0
BEGJPP5P,123,421,1,3777.02,116333.77026367188,0
BEGJPP51,120,49,114,4077.38,148705.57287597653,0
BEGJPP58,136,334,104,4233.65,229428.5871582031,3
BEGJPP11,61,393,1,3253.43,92237.85229492188,0
BEGJPP81,55,411,1,3220.07,105497.97619628906,0
BEGJPP51,42,423,1,3278.38,116875.25744628905,0
BEGJPP12,50,442,1,3242.12,119227.13134765625,0
BEGJPP11,50,459,1,3226.41,120417.5028076172,0
BEGJPP13,106,463,1,3639.81,96556.3046875,0
BEGJPP85,65,434,213,3886.57,93659.33502197266,0
BEGJPP12,108,430,1,3617.59,138319.33544921875,0
BEGJPP8P,109,407,1,3623.93,85069.32232666017,0
BEGJPP83,83,290,317,4191.33,102126.69244384766,0
BEGJPP88,106,374,122,3747.44,85014.52301025389,0
BEGJPP89,106,391,95,3710.54,81506.90148925781,0
BEGJPP88,68,358,94,3467.65,99859.66662597656,0
BEGJPP82,74,333,1,3304.55,105840.34545898438,0
BEGJPP25,49,524,101,3384.5,139201.53063964847,0
BEGJPP21,51,540,96,3389.91,125771.74377441405,0
BEGJPP81,104,320,1,3575.72,98485.80688476562,0
BEGJPP2P,120,74,1,3861.07,167583.77111816403,1
BEGJPP82,102,276,1,3597.48,110620.2759399414,0
BEGJPP11,62,520,213,3802.2,114962.4268798828,0
BEGJPP18,105,482,1,3645.86,92788.56506347656,0
BEGJPP28,50,507,1,3239.51,127620.05651855467,0
BEGJPP29,49,492,1,3240.23,122792.751953125,0
BEGJPP15,62,488,212,3805.03,137982.333984375,0
BEGJPP1P,98,549,1,3683.13,95520.8348388672,0
BEGJPP22,51,571,1,3394.25,129720.18957519533,0
BEGJPP22,96,565,1,3720.36,93797.61364746094,0
BEGJPP19,100,531,1,3662.76,100121.07257080078,0
BEGJPP18,61,579,105,3623.0,119051.64031982422,0
BEGJPP23,84,581,1,3727.78,93418.169921875,0
BEGJPP12,95,454,212,4112.4,164678.94311523438,1
BEGJPP21,101,514,104,3757.97,149810.25988769528,0
BEGJPP11,123,725,2,4047.08,175915.76000976562,1
BEGJPP28,51,555,1,3313.44,119121.2471923828,0
BEGJPP12,120,125,2,3926.17,74436.76983642577,0
BEGJPP19,145,367,2,4219.96,263423.53173828125,2
BEGJPP1P,143,538,3,4125.63,251915.21826171875,2
BEGJPP18,59,299,3,4039.36,334975.30444335943,-1
BEGJPP3P,20,483,1,4195.23,263436.50048828125,2
BEGJPP53,147,449,2,4196.62,248780.357421875,2
BEGJPP39,91,272,1,3520.53,116303.18200683595,0
BEGJPP15,138,122,49,4133.36,174435.86828613278,1
BEGJPP52,34,391,2,4237.35,252770.67431640625,2
QIGFPPP2,126,856,2,4057.22,191274.57678222656,-1
BEGJPP13,119,89,219,4440.77,191292.3828125,-1
BEGJ9P98,128,10,1,4155.33,229476.7216796875,3
BEGJP181,141,574,1,4176.36,257304.08251953125,2
BEGJ9PP9,116,168,212,4509.61,195854.0712890625,3
BEGJ9P9P,87,411,6,3432.59,110348.74786376953,0
BEGJ9PP8,131,311,3,3996.23,195474.78881835935,3
BEGJ1P9P,87,410,230,4070.42,137809.99890136722,0
BEGJ9P99,40,519,10,3321.08,142924.32446289062,0
BEGJ1P99,40,518,212,3848.52,162886.57556152347,1
BEGJP281,146,132,4,4190.46,203421.5009765625,3
BEGJ9PP5,118,604,1,3995.99,131795.65710449222,0
BEGJP218,144,186,2,4241.99,222588.5849609375,3
BEGJ9PP8,137,435,1,4043.6,197814.56665039065,3
BEGJP1P5,20,440,2,4345.7,228985.19189453125,3
BEGJP221,145,413,5,4198.12,258076.91357421875,2
